,date,y,y_err
1,2018-01-07,46.5,2.0
2,2018-01-13,40.0,2.5
3,2018-01-19,37.5,3.5
4,2018-01-25,40.5,3.5
5,2018-01-31,44.5,2.0
6,2018-02-06,24.0,1.0
7,2018-02-12,21.0,2.5
8,2018-02-18,37.0,3.5
9,2018-02-24,42.5,2.5
10,2018-03-02,46.5,4.0
11,2018-03-08,41.5,3.5
12,2018-03-14,39.0,2.5
13,2018-03-20,39.0,2.5
14,2018-03-26,39.5,1.0
15,2018-04-01,39.5,0.0
16,2018-04-07,37.0,1.5
17,2018-04-13,33.0,2.5
18,2018-04-19,32.5,1.75
19,2018-04-25,33.5,1.25
20,2018-05-01,36.0,1.0
21,2018-05-07,42.0,3.0
22,2018-05-13,40.0,3.5
23,2018-05-19,38.5,1.0
24,2018-05-25,39.5,3.0
25,2018-05-31,36.5,3.5
26,2018-06-06,39.5,1.0
27,2018-06-12,43.0,1.0
28,2018-06-18,44.0,2.0
29,2018-06-24,42.5,3.5
30,2018-06-30,46.0,3.0
31,2018-07-06,47.0,1.5
32,2018-07-12,43.0,0.5
33,2018-07-18,39.0,1.5
34,2018-07-24,41.0,2.5
35,2018-07-30,43.0,2.5
36,2018-08-05,47.0,2.5
37,2018-08-11,47.5,3.0
38,2018-08-17,45.5,2.0
39,2018-08-23,48.0,1.0
40,2018-08-29,44.0,1.0
41,2018-09-04,36.5,2.0
42,2018-09-10,39.0,4.0
43,2018-09-16,41.0,3.0
44,2018-09-22,36.0,3.5
45,2018-09-28,38.5,3.5
46,2018-10-04,40.0,2.0
47,2018-10-10,40.5,2.5
48,2018-10-16,37.5,3.5
49,2018-10-22,36.5,4.5
50,2018-10-28,40.0,3.0
51,2018-11-03,40.5,2.0
52,2018-11-09,40.0,1.5
53,2018-11-15,42.0,1.5
54,2018-11-21,43.5,1.5
55,2018-11-27,47.5,1.0
56,2018-12-03,46.5,3.0
57,2018-12-09,40.5,3.0
58,2018-12-15,37.5,2.0
59,2018-12-21,35.5,2.0
60,2018-12-27,40.0,2.5
61,2019-01-02,41.0,3.5
62,2019-01-08,41.5,2.5
63,2019-01-14,41.0,2.0
64,2019-01-20,42.0,2.0
65,2019-01-26,40.5,0.5
66,2019-02-01,33.0,0.0
67,2019-02-07,32.0,1.5
68,2019-02-13,33.5,3.5
69,2019-02-19,38.0,4.0
70,2019-02-25,38.0,3.5
71,2019-03-03,37.5,4.5
72,2019-03-09,41.5,3.0
73,2019-03-15,43.5,1.5
74,2019-03-21,38.0,3.5
75,2019-03-27,35.0,3.5
76,2019-04-02,35.0,3.0
77,2019-04-08,32.0,2.5
78,2019-04-14,34.0,1.5
79,2019-04-20,34.0,1.0
80,2019-04-26,35.5,0.5
81,2019-05-02,42.5,1.5
82,2019-05-08,41.0,3.5
83,2019-05-14,39.5,3.5
84,2019-05-20,40.0,3.0
85,2019-05-26,39.0,3.0
86,2019-06-01,39.0,5.5
87,2019-06-07,35.5,5.0
88,2019-06-13,35.5,3.0
89,2019-06-19,38.5,2.0
90,2019-06-25,41.5,0.5
91,2019-07-01,45.0,1.0
92,2019-07-07,43.5,2.5
93,2019-07-13,39.0,2.0
94,2019-07-19,33.5,2.5
95,2019-07-25,33.0,2.5
96,2019-07-31,41.0,2.5
97,2019-08-06,45.0,2.5
98,2019-08-12,45.0,1.5
99,2019-08-18,42.0,0.0
100,2019-08-24,41.5,0.0
101,2019-08-30,41.0,1.0
102,2019-09-05,39.0,1.0
103,2019-09-11,38.0,1.5
104,2019-09-17,37.0,1.0
105,2019-09-23,35.0,0.5
106,2019-09-29,34.5,1.0
107,2019-10-05,35.0,1.5
108,2019-10-11,32.0,2.5
109,2019-10-17,29.5,2.5
110,2019-10-23,30.5,1.5
111,2019-10-29,30.0,2.5
112,2019-11-04,29.5,4.0
113,2019-11-10,35.0,4.0
114,2019-11-16,37.0,3.0
115,2019-11-22,39.0,2.5
116,2019-11-28,35.0,1.5
117,2019-12-04,37.0,2.0
118,2019-12-10,43.0,4.0
119,2019-12-16,37.0,2.5
120,2019-12-22,38.0,1.0
121,2019-12-28,36.0,2.5
122,2020-01-03,21.5,3.0
123,2020-01-09,28.5,4.5
124,2020-01-15,40.5,4.0
125,2020-01-21,37.5,3.5
126,2020-01-27,33.5,5.0
127,2020-02-02,35.0,3.0
128,2020-02-08,37.0,3.0
129,2020-02-14,32.0,4.0
130,2020-02-20,31.0,5.5
131,2020-02-26,35.5,4.0
132,2020-03-03,34.5,1.5
133,2020-03-09,37.0,4.0
134,2020-03-15,40.0,6.0
135,2020-03-21,37.5,4.0
136,2020-03-27,40.5,2.5
137,2020-04-02,36.0,4.0
138,2020-04-08,33.0,2.5
139,2020-04-14,37.0,0.5
140,2020-04-20,39.0,0.5
141,2020-04-26,41.0,1.5
142,2020-05-02,38.0,1.0
143,2020-05-08,36.5,0.0
144,2020-05-14,37.5,1.0
145,2020-05-20,33.5,3.5
146,2020-05-26,33.5,3.0
147,2020-06-01,38.5,0.5
148,2020-06-07,43.5,0.5
149,2020-06-13,41.5,0.5
150,2020-06-19,37.0,3.0
151,2020-06-25,36.5,2.0
152,2020-07-01,33.5,2.0
153,2020-07-07,36.5,3.5
154,2020-07-13,43.0,2.5
155,2020-07-19,39.5,4.5
156,2020-07-25,36.5,5.0
157,2020-07-31,39.0,4.0
158,2020-08-06,44.0,4.0
159,2020-08-12,46.5,4.0
160,2020-08-18,48.0,5.0
161,2020-08-24,46.0,4.5
162,2020-08-30,48.5,2.5
163,2020-09-05,50.5,2.0
164,2020-09-11,42.5,1.0
165,2020-09-17,38.0,1.0
166,2020-09-23,40.0,2.0
167,2020-09-29,40.5,2.5
168,2020-10-05,38.5,2.5
169,2020-10-11,37.5,2.5
170,2020-10-17,41.0,4.0
171,2020-10-23,46.5,3.5
172,2020-10-29,45.5,2.5
173,2020-11-04,46.0,1.5
174,2020-11-10,50.0,0.5
175,2020-11-16,47.5,0.0
176,2020-11-22,42.5,2.0
177,2020-11-28,44.0,2.0
178,2020-12-04,47.0,1.0
179,2020-12-10,51.0,2.5
180,2020-12-16,50.5,3.5
181,2020-12-22,45.5,3.0
182,2020-12-28,47.0,5.0
183,2021-01-03,42.0,4.5
184,2021-01-09,41.5,2.0
185,2021-01-15,33.0,2.5
186,2021-01-21,32.0,1.0
187,2021-01-27,33.0,0.5
188,2021-02-02,32.5,1.5
189,2021-02-08,45.0,2.5
190,2021-02-14,45.0,3.5
191,2021-02-20,46.5,2.0
192,2021-02-26,45.5,0.0
193,2021-03-04,44.0,0.5
194,2021-03-10,46.0,2.0
195,2021-03-16,43.5,2.0
196,2021-03-22,52.0,1.5
197,2021-03-28,63.0,1.5
198,2021-04-03,65.0,2.0
199,2021-04-09,61.0,3.0
200,2021-04-15,47.5,3.0
201,2021-04-21,42.0,2.0
202,2021-04-27,43.0,2.0
203,2021-05-03,41.5,2.5
204,2021-05-09,42.5,1.0
205,2021-05-15,43.0,1.0
206,2021-05-21,42.0,3.0
207,2021-05-27,38.0,2.5
208,2021-06-02,37.0,2.5
209,2021-06-08,38.0,3.5
210,2021-06-14,38.0,3.0
211,2021-06-20,43.5,2.0
212,2021-06-26,42.0,2.0
213,2021-07-02,43.0,1.5
214,2021-07-08,52.5,1.5
215,2021-07-14,52.0,3.0
216,2021-07-20,46.0,5.5
217,2021-07-26,44.5,3.5
218,2021-08-01,50.0,1.0
219,2021-08-07,52.0,2.0
220,2021-08-13,53.0,1.0
221,2021-08-19,54.0,1.5
222,2021-08-25,54.0,2.0
223,2021-08-31,57.0,2.5
224,2021-09-06,55.0,3.0
225,2021-09-12,51.0,1.5
226,2021-09-18,52.0,2.0
227,2021-09-24,50.0,3.0
228,2021-09-30,47.5,4.5
229,2021-10-06,51.5,4.5
230,2021-10-12,46.0,3.0
231,2021-10-18,42.0,2.5
232,2021-10-24,50.0,1.5
233,2021-10-30,52.5,1.5
234,2021-11-05,51.5,2.5
235,2021-11-11,53.5,4.5
236,2021-11-17,48.0,6.5
237,2021-11-23,47.0,4.5
238,2021-11-29,50.0,3.0
239,2021-12-05,45.0,5.5
240,2021-12-11,43.0,4.0
241,2021-12-17,47.5,2.5
