,date,y,y_err
0,2018-01-07,22.0,3.0
1,2018-01-13,24.5,6.5
2,2018-01-19,27.0,10.0
3,2018-01-25,27.0,7.5
4,2018-01-31,27.0,5.0
5,2018-02-06,24.5,8.0
6,2018-02-12,22.0,11.0
7,2018-02-18,22.25,9.5
8,2018-02-24,22.5,8.0
9,2018-03-02,22.75,6.5
10,2018-03-08,23.0,5.0
11,2018-03-14,22.0,7.0
12,2018-03-20,21.0,9.0
13,2018-03-26,23.5,8.0
14,2018-04-01,26.0,7.0
15,2018-04-07,25.5,4.5
16,2018-04-13,25.0,2.0
17,2018-04-19,25.5,4.5
18,2018-04-25,26.0,7.0
19,2018-05-01,27.0,5.5
20,2018-05-07,28.0,4.0
21,2018-05-13,23.5,6.0
22,2018-05-19,19.0,8.0
23,2018-05-25,22.0,9.0
24,2018-05-31,25.0,10.0
25,2018-06-06,24.5,10.5
26,2018-06-12,24.0,11.0
27,2018-06-18,22.5,9.0
28,2018-06-24,21.0,7.0
29,2018-06-30,25.0,5.0
30,2018-07-06,29.0,3.0
31,2018-07-12,15.285714285714285,6.0
32,2018-07-18,29.0,6.0
33,2018-07-24,29.0,5.0
34,2018-07-30,29.0,4.0
35,2018-08-05,28.5,2.5
36,2018-08-11,28.0,1.0
37,2018-08-17,27.0,3.5
38,2018-08-23,26.0,6.0
39,2018-08-29,25.0,4.5
40,2018-09-04,24.0,3.0
41,2018-09-10,25.5,4.5
42,2018-09-16,27.0,6.0
43,2018-09-22,27.0,6.0
44,2018-09-28,27.0,6.0
45,2018-10-04,26.0,6.0
46,2018-10-10,25.0,6.0
47,2018-10-16,26.5,7.0
48,2018-10-22,28.0,8.0
49,2018-10-28,23.5,9.0
50,2018-11-03,19.0,10.0
51,2018-11-09,26.5,6.5
52,2018-11-15,34.0,3.0
53,2018-11-21,36.5,4.5
54,2018-11-27,39.0,6.0
55,2018-12-03,36.5,6.75
56,2018-12-09,34.0,7.5
57,2018-12-15,31.5,8.25
58,2018-12-21,29.0,9.0
59,2018-12-27,27.5,9.0
60,2019-01-02,26.0,9.0
61,2019-01-08,25.5,7.5
62,2019-01-14,25.0,6.0
63,2019-01-20,27.0,6.0
64,2019-01-26,29.0,6.0
65,2019-02-01,27.5,4.5
66,2019-02-07,26.0,3.0
67,2019-02-13,29.5,4.5
68,2019-02-19,33.0,6.0
69,2019-02-25,30.0,8.0
70,2019-03-03,27.0,10.0
71,2019-03-09,23.5,8.5
72,2019-03-15,20.0,7.0
73,2019-03-21,25.5,6.5
74,2019-03-27,31.0,6.0
75,2019-04-02,28.5,7.0
76,2019-04-08,26.0,8.0
77,2019-04-14,26.5,6.75
78,2019-04-20,27.0,5.5
79,2019-04-26,27.5,4.25
80,2019-05-02,28.0,3.0
81,2019-05-08,27.5,3.0
82,2019-05-14,27.0,3.0
83,2019-05-20,26.5,4.5
84,2019-05-26,26.0,6.0
85,2019-06-01,25.5,8.0
86,2019-06-07,25.0,10.0
87,2019-06-13,24.5,9.0
88,2019-06-19,24.0,8.0
89,2019-06-25,22.5,8.0
90,2019-07-01,21.0,8.0
91,2019-07-07,23.0,5.0
92,2019-07-13,25.0,2.0
93,2019-07-19,25.5,3.5
94,2019-07-25,26.0,5.0
95,2019-07-31,27.5,5.0
96,2019-08-06,29.0,5.0
97,2019-08-12,29.5,5.0
