,date,y,y_err
0,2018-01-07,21.0,2.0
1,2018-01-19,27.0,7.0
2,2018-01-31,27.0,2.0
3,2018-02-12,22.0,7.0
4,2018-03-08,22.0,5.0
5,2018-03-20,21.0,7.0
6,2018-04-01,25.0,6.0
7,2018-04-13,24.0,3.0
8,2018-04-25,24.0,9.0
9,2018-05-07,27.0,4.0
10,2018-05-19,19.0,7.0
11,2018-05-31,25.0,10.0
12,2018-06-12,24.0,8.0
13,2018-06-24,21.0,4.0
14,2018-07-06,25.0,4.0
15,2018-07-11,13.0,6.0
16,2018-07-18,29.0,3.0
17,2018-07-30,26.0,1.0
18,2018-08-11,27.0,2.0
19,2018-08-23,25.0,6.0
20,2018-09-04,22.0,5.0
21,2018-09-16,26.0,5.0
22,2018-09-28,25.0,6.0
23,2018-10-10,25.0,5.0
24,2018-10-22,27.0,7.0
25,2018-11-03,19.0,7.0
26,2018-11-15,32.0,3.0
27,2018-11-27,36.0,7.0
28,2018-12-21,29.0,6.0
29,2019-01-02,25.0,7.0
30,2019-01-14,24.0,6.0
31,2019-01-26,29.0,5.0
32,2019-02-07,26.0,3.0
33,2019-02-19,31.0,5.0
34,2019-03-03,27.0,7.0
35,2019-03-15,20.0,6.0
36,2019-03-27,31.0,6.0
37,2019-04-08,26.0,7.0
38,2019-05-02,28.0,2.0
39,2019-05-14,25.0,4.0
40,2019-05-26,24.0,7.0
41,2019-06-07,25.0,9.0
42,2019-06-19,24.0,7.0
43,2019-07-01,20.0,7.0
44,2019-07-13,23.0,2.0
45,2019-07-25,26.0,3.0
46,2019-08-06,28.0,5.0
47,2019-08-18,27.0,4.0
48,2019-08-30,26.0,2.0
49,2019-09-11,25.0,7.0
50,2019-09-23,38.0,5.0
51,2019-10-05,23.0,9.0
52,2019-10-17,22.0,6.0
53,2019-10-29,28.0,5.0
54,2019-11-10,23.0,4.0
55,2019-11-22,28.0,9.0
56,2019-12-04,25.0,6.0
57,2019-12-16,28.0,8.0
58,2019-12-28,24.0,6.0
59,2020-01-09,22.0,3.0
60,2020-01-21,25.0,5.0
61,2020-02-02,21.0,6.0
62,2020-02-14,28.0,9.0
63,2020-02-26,22.0,4.0
64,2020-03-09,23.0,3.0
65,2020-03-21,22.0,4.0
66,2020-04-02,19.0,6.0
67,2020-04-14,25.0,3.0
68,2020-04-26,22.0,3.0
69,2020-05-08,25.0,9.0
70,2020-05-20,26.0,4.0
71,2020-06-01,24.0,2.0
72,2020-06-13,25.0,5.0
73,2020-06-25,31.0,5.0
74,2020-07-07,26.0,9.0
75,2020-07-19,28.0,3.0
76,2020-07-31,26.0,4.0
77,2020-08-12,23.0,8.0
78,2020-08-24,25.0,5.0
79,2020-08-30,20.0,1.0
80,2020-09-05,19.0,6.0
81,2020-09-17,25.0,3.0
82,2020-09-29,31.0,5.0
83,2020-10-11,19.0,6.0
84,2020-10-23,30.0,3.0
85,2020-11-04,30.0,8.0
86,2020-11-16,20.0,7.0
87,2020-11-28,32.0,4.0
88,2020-12-10,25.0,8.0
89,2020-12-22,29.0,8.0
90,2021-01-03,28.0,8.0
91,2021-01-15,29.0,8.0
92,2021-01-27,28.0,9.0
93,2021-02-08,20.0,2.0
94,2021-02-20,16.0,3.0
95,2021-03-04,27.0,6.0
96,2021-03-16,32.0,11.0
97,2021-03-28,25.0,2.0
98,2021-04-09,25.0,8.0
99,2021-04-21,29.0,8.0
100,2021-05-03,29.0,12.0
101,2021-05-15,27.0,4.0
102,2021-05-27,29.0,11.0
103,2021-06-08,33.0,7.0
104,2021-06-20,23.0,3.0
105,2021-07-02,26.0,10.0
106,2021-07-14,26.0,6.0
107,2021-07-26,25.0,6.0
108,2021-08-07,23.0,3.0
109,2021-08-19,25.0,9.0
110,2021-08-31,37.0,9.0
111,2021-09-12,29.0,5.0
112,2021-09-24,30.0,6.0
113,2021-10-06,27.0,10.0
114,2021-10-18,29.0,7.0
115,2021-10-30,24.0,9.0
116,2021-11-23,24.0,5.0
117,2021-12-05,29.0,5.0
118,2021-12-17,29.0,8.0
119,2021-12-29,29.0,5.0
