,date,y,y_err
0,2018-01-04,16.0,1.0
1,2018-01-10,19.0,1.0
2,2018-01-16,16.0,1.0
3,2018-01-22,11.0,1.0
4,2018-01-28,12.0,1.0
5,2018-02-03,11.0,0.0
6,2018-02-15,22.0,1.0
7,2018-02-27,28.0,0.0
8,2018-03-11,25.0,0.0
9,2018-03-23,20.0,1.0
10,2018-04-04,24.0,0.0
11,2018-04-10,21.0,1.0
12,2018-04-16,18.0,1.0
13,2018-04-22,15.0,1.0
14,2018-04-28,26.0,1.0
15,2018-05-04,22.0,1.0
16,2018-05-10,17.0,2.0
17,2018-05-16,20.0,0.0
18,2018-05-22,26.0,3.0
19,2018-05-28,21.0,1.0
20,2018-06-03,17.0,2.0
21,2018-06-09,22.0,0.0
22,2018-06-15,18.0,1.0
23,2018-06-21,10.0,0.0
24,2018-06-27,14.0,1.0
25,2018-07-03,19.0,0.0
26,2018-07-09,17.0,1.0
27,2018-07-15,20.0,0.0
28,2018-07-21,21.0,1.0
29,2018-07-27,21.0,0.0
30,2018-08-02,17.0,1.0
31,2018-08-14,13.0,1.0
32,2018-08-26,12.0,2.0
33,2018-09-07,19.0,3.0
34,2018-09-19,18.0,0.0
35,2018-09-25,17.0,0.0
36,2018-10-01,26.0,2.0
37,2018-10-13,24.0,1.0
38,2018-10-25,14.0,0.0
39,2018-11-06,19.0,1.0
40,2018-11-18,18.0,2.0
41,2018-11-30,15.0,2.0
42,2018-12-12,21.0,3.0
43,2018-12-24,20.0,0.0
44,2018-12-30,20.0,1.0
45,2019-01-05,27.0,1.0
46,2019-01-11,26.0,2.0
47,2019-01-17,27.0,1.0
48,2019-01-23,19.0,1.0
49,2019-01-29,23.0,2.0
50,2019-02-10,22.0,2.0
51,2019-02-22,26.0,0.0
52,2019-03-06,27.0,2.0
53,2019-03-12,22.0,0.0
54,2019-03-18,21.0,0.0
55,2019-03-24,16.0,0.0
56,2019-03-30,19.0,2.0
57,2019-04-05,20.0,0.0
58,2019-04-11,26.0,0.0
59,2019-04-17,20.0,0.0
60,2019-04-23,18.0,2.0
61,2019-04-29,26.0,0.0
62,2019-05-05,19.0,1.0
63,2019-05-11,18.0,0.0
64,2019-05-17,24.0,1.0
65,2019-05-23,27.0,0.0
66,2019-05-29,21.0,3.0
67,2019-06-10,17.0,1.0
68,2019-06-16,23.0,1.0
69,2019-06-22,22.0,1.0
70,2019-06-28,24.0,0.0
71,2019-07-04,21.0,2.0
72,2019-07-10,24.0,1.0
73,2019-07-16,23.0,2.0
74,2019-07-22,23.0,1.0
75,2019-07-28,20.0,1.0
76,2019-08-03,17.0,1.0
77,2019-08-09,17.0,0.0
78,2019-08-15,19.0,0.0
79,2019-08-21,19.0,1.0
80,2019-08-27,13.0,0.0
81,2019-09-02,20.0,0.0
82,2019-09-08,16.0,1.0
83,2019-09-14,18.0,0.0
84,2019-09-20,17.0,0.0
85,2019-09-26,14.0,1.0
86,2019-10-02,21.0,0.0
87,2019-10-08,23.0,1.0
88,2019-10-14,24.0,1.0
89,2019-10-20,24.0,1.0
90,2019-10-26,18.0,0.0
91,2019-11-01,15.0,2.0
92,2019-11-07,22.0,1.0
93,2019-11-13,24.0,0.0
94,2019-11-19,20.0,0.0
95,2019-11-25,22.0,2.0
96,2019-12-01,21.0,0.0
97,2019-12-07,26.0,1.0
98,2019-12-13,19.0,0.0
99,2019-12-19,20.0,2.0
100,2019-12-25,25.0,0.0
101,2019-12-31,26.0,2.0
102,2020-01-06,23.0,0.0
103,2020-01-12,22.0,1.0
104,2020-01-18,29.0,1.0
105,2020-01-24,20.0,0.0
106,2020-01-30,24.0,0.0
107,2020-02-05,18.0,2.0
108,2020-02-11,17.0,1.0
109,2020-02-17,20.0,1.0
110,2020-02-23,16.0,2.0
111,2020-02-29,18.0,0.0
112,2020-03-06,25.0,2.0
113,2020-03-12,21.0,1.0
114,2020-03-18,19.0,0.0
115,2020-03-24,24.0,0.0
116,2020-03-30,19.0,1.0
117,2020-04-05,25.0,0.0
118,2020-04-11,27.0,0.0
119,2020-04-17,39.0,1.0
120,2020-04-23,42.0,0.0
121,2020-04-29,37.0,4.0
122,2020-05-05,34.0,2.0
123,2020-05-11,27.0,1.0
124,2020-05-17,25.0,0.0
125,2020-05-23,26.0,2.0
126,2020-05-29,28.0,2.0
127,2020-06-04,24.0,1.0
128,2020-06-10,25.0,2.0
129,2020-06-16,27.0,1.0
130,2020-06-22,25.0,1.0
131,2020-06-28,25.0,1.0
132,2020-07-04,15.0,2.0
133,2020-07-10,22.0,0.0
134,2020-07-16,19.0,1.0
135,2020-07-22,25.0,2.0
136,2020-07-28,21.0,0.0
137,2020-08-03,26.0,1.0
138,2020-08-09,18.0,1.0
139,2020-08-15,26.0,1.0
140,2020-08-21,28.0,0.0
141,2020-08-27,24.0,1.0
142,2020-09-02,27.0,1.0
143,2020-09-08,27.0,0.0
144,2020-09-14,20.0,1.0
145,2020-09-20,15.0,3.0
146,2020-09-26,25.0,0.0
147,2020-10-02,25.0,1.0
148,2020-10-08,22.0,0.0
149,2020-10-14,18.0,2.0
150,2020-10-20,22.0,0.0
151,2020-10-26,27.0,1.0
152,2020-11-01,27.0,1.0
153,2020-11-07,21.0,2.0
154,2020-11-13,22.0,1.0
155,2020-11-19,26.0,3.0
156,2020-11-25,30.0,1.0
157,2020-12-01,40.0,1.0
158,2020-12-07,37.0,3.0
159,2020-12-13,38.0,1.0
160,2020-12-19,32.0,0.0
161,2020-12-25,40.0,2.0
162,2020-12-31,38.0,0.0
163,2021-01-06,48.0,1.0
164,2021-01-12,43.0,1.0
165,2021-01-18,47.0,2.0
166,2021-01-24,40.0,0.0
167,2021-01-30,45.0,1.0
168,2021-02-05,45.0,0.0
169,2021-02-11,45.0,2.0
170,2021-02-17,45.0,1.0
171,2021-02-23,41.0,1.0
172,2021-03-01,40.0,0.0
173,2021-03-07,40.0,2.0
174,2021-03-13,38.0,0.0
175,2021-03-19,41.0,3.0
176,2021-03-25,47.0,0.0
177,2021-03-31,47.0,3.0
178,2021-04-06,37.0,0.0
179,2021-04-12,41.0,3.0
180,2021-04-18,43.0,1.0
181,2021-04-24,41.0,1.0
182,2021-04-30,35.0,0.0
183,2021-05-06,35.0,2.0
184,2021-05-12,39.0,0.0
185,2021-05-18,34.0,1.0
186,2021-05-24,43.0,1.0
187,2021-05-30,32.0,0.0
188,2021-06-05,39.0,1.0
189,2021-06-11,39.0,1.0
190,2021-06-17,37.0,1.0
191,2021-06-23,40.0,2.0
192,2021-06-29,36.0,0.0
193,2021-07-05,42.0,1.0
194,2021-07-11,34.0,0.0
195,2021-07-17,32.0,2.0
196,2021-07-23,44.0,0.0
197,2021-07-29,48.0,1.0
198,2021-08-04,43.0,2.0
199,2021-08-10,49.0,1.0
200,2021-08-16,44.0,0.0
201,2021-08-22,45.0,1.0
202,2021-08-28,50.0,1.0
203,2021-09-03,53.0,1.0
204,2021-09-09,47.0,1.0
205,2021-09-15,52.0,3.0
206,2021-09-21,51.0,0.0
207,2021-09-27,49.0,1.0
208,2021-10-03,47.0,0.0
209,2021-10-09,55.0,3.0
210,2021-10-15,49.0,0.0
211,2021-10-21,49.0,2.0
212,2021-10-27,42.0,1.0
213,2021-11-02,43.0,1.0
214,2021-11-08,45.0,0.0
215,2021-11-14,46.0,2.0
216,2021-11-20,49.0,0.0
217,2021-11-26,49.0,0.0
218,2021-12-02,51.0,0.0
219,2021-12-08,43.0,2.0
220,2021-12-14,13.0,0.0
221,2021-12-20,33.0,1.0
