,date,y,y_err
0,2018-01-06,112.0,1.0
1,2018-01-18,122.0,0.0
2,2018-01-30,116.0,2.0
3,2018-02-11,112.0,1.0
4,2018-02-23,108.0,1.0
5,2018-03-19,105.0,1.0
6,2018-03-31,115.0,3.0
7,2018-04-12,124.0,0.0
8,2018-04-24,115.0,3.0
9,2018-05-06,97.0,4.0
10,2018-05-18,110.0,6.0
11,2018-05-30,110.0,3.0
12,2018-06-11,87.0,7.0
13,2018-06-23,101.0,9.0
14,2018-07-05,108.0,0.0
15,2018-07-17,99.0,4.0
16,2018-07-29,111.0,4.0
17,2018-08-10,105.0,4.0
18,2018-08-22,92.0,5.0
19,2018-09-03,95.0,2.0
20,2018-09-15,91.0,4.0
21,2018-09-27,102.0,5.0
22,2018-10-09,111.0,2.0
23,2018-10-21,115.0,3.0
24,2018-11-02,94.0,5.0
25,2018-11-14,101.0,2.0
26,2018-11-26,110.0,3.0
27,2018-12-08,110.0,1.0
28,2018-12-20,120.0,2.0
29,2019-01-01,119.0,1.0
30,2019-01-13,115.0,1.0
31,2019-01-25,102.0,1.0
32,2019-02-06,116.0,0.0
33,2019-02-18,99.0,1.0
34,2019-03-02,101.0,0.0
35,2019-03-14,107.0,8.0
36,2019-03-26,124.0,5.0
37,2019-04-07,108.0,1.0
38,2019-04-19,116.0,8.0
39,2019-05-01,107.0,3.0
40,2019-05-13,110.0,1.0
41,2019-05-25,100.0,6.0
42,2019-06-06,118.0,2.0
43,2019-06-18,104.0,8.0
44,2019-06-30,99.0,8.0
45,2019-07-12,106.0,3.0
46,2019-08-05,98.0,6.0
47,2019-08-17,89.0,2.0
48,2019-08-29,118.0,9.0
49,2019-09-10,105.0,5.0
50,2019-09-22,108.0,6.0
51,2019-10-04,106.0,6.0
52,2019-10-16,118.0,2.0
53,2019-10-28,105.0,7.0
54,2019-11-09,90.0,6.0
55,2019-11-21,108.0,3.0
56,2019-12-03,114.0,2.0
57,2019-12-15,120.0,2.0
58,2019-12-27,108.0,8.0
59,2020-01-08,104.0,0.0
60,2020-01-20,105.0,5.0
61,2020-02-01,116.0,2.0
62,2020-02-13,100.0,4.0
63,2020-03-08,101.0,3.0
64,2020-03-20,97.0,6.0
65,2020-04-01,107.0,5.0
66,2020-04-13,112.0,3.0
67,2020-04-25,121.0,6.0
68,2020-05-07,96.0,5.0
69,2020-05-19,109.0,5.0
70,2020-05-31,111.0,3.0
71,2020-06-12,129.0,0.0
72,2020-06-24,110.0,3.0
73,2020-07-06,102.0,4.0
74,2020-07-30,108.0,2.0
75,2020-08-11,100.0,2.0
76,2020-08-23,101.0,4.0
77,2020-09-04,97.0,6.0
78,2020-09-16,94.0,7.0
79,2020-09-28,121.0,1.0
80,2020-10-10,130.0,6.0
81,2020-10-22,119.0,8.0
82,2020-11-03,97.0,3.0
83,2020-11-15,107.0,1.0
84,2020-11-27,122.0,4.0
85,2020-12-09,119.0,6.0
86,2020-12-21,116.0,0.0
87,2021-01-02,107.0,5.0
88,2021-01-14,116.0,4.0
89,2021-01-26,92.0,8.0
90,2021-02-07,112.0,1.0
91,2021-02-19,111.0,4.0
92,2021-03-03,98.0,2.0
93,2021-03-15,103.0,4.0
94,2021-03-27,99.0,6.0
95,2021-04-08,121.0,2.0
96,2021-04-20,108.0,10.0
97,2021-05-02,98.0,3.0
98,2021-05-14,92.0,1.0
99,2021-05-26,87.0,7.0
100,2021-06-07,101.0,0.0
101,2021-06-19,92.0,0.0
102,2021-07-01,105.0,1.0
103,2021-07-13,95.0,7.0
104,2021-07-25,121.0,11.0
105,2021-08-06,112.0,12.0
106,2021-08-18,104.0,1.0
107,2021-08-30,94.0,5.0
108,2021-09-11,100.0,4.0
109,2021-09-23,110.0,9.0
110,2021-10-05,89.0,9.0
111,2021-10-17,98.0,8.0
112,2021-10-29,103.0,9.0
113,2021-11-10,105.0,3.0
114,2021-11-22,118.0,2.0
115,2021-12-04,100.0,3.0
116,2021-12-16,100.0,4.0
117,2021-12-28,100.0,2.0
