,date,y,y_err
0,2018-01-04,49.0,1.0
1,2018-01-10,38.0,4.0
2,2018-01-16,34.0,3.0
3,2018-01-22,35.0,5.0
4,2018-01-28,42.0,2.0
5,2018-02-03,43.0,2.0
6,2018-02-09,3.0,0.0
7,2018-02-15,38.0,4.0
8,2018-02-21,33.0,2.0
9,2018-02-27,46.0,2.0
10,2018-03-05,40.0,5.0
11,2018-03-11,40.0,0.0
12,2018-03-17,36.0,4.0
13,2018-03-23,36.0,2.0
14,2018-03-29,36.0,1.0
15,2018-04-04,40.0,1.0
16,2018-04-10,31.0,4.0
17,2018-04-16,29.0,4.0
18,2018-04-28,32.0,3.0
19,2018-05-04,36.0,2.0
20,2018-05-10,45.0,4.0
21,2018-05-16,32.0,2.0
22,2018-05-22,43.0,1.0
23,2018-05-28,33.0,4.0
24,2018-06-03,35.0,1.0
25,2018-06-09,41.0,0.0
26,2018-06-15,43.0,0.0
27,2018-06-21,43.0,2.0
28,2018-06-27,38.0,3.0
29,2018-07-03,48.0,3.0
30,2018-07-09,39.0,1.0
31,2018-07-15,39.0,2.0
32,2018-07-21,34.0,3.0
33,2018-07-27,45.0,3.0
34,2018-08-02,38.0,2.0
35,2018-08-08,52.0,3.0
36,2018-08-14,38.0,4.0
37,2018-08-20,49.0,1.0
38,2018-08-26,44.0,2.0
39,2018-09-01,41.0,0.0
40,2018-09-07,30.0,3.0
41,2018-09-13,47.0,3.0
42,2018-09-19,34.0,0.0
43,2018-09-25,37.0,3.0
44,2018-10-01,39.0,2.0
45,2018-10-07,39.0,2.0
46,2018-10-13,40.0,2.0
47,2018-10-19,34.0,3.0
48,2018-10-25,37.0,5.0
49,2018-10-31,39.0,0.0
50,2018-11-06,39.0,1.0
51,2018-11-12,40.0,1.0
52,2018-11-18,41.0,2.0
53,2018-11-24,41.0,0.0
54,2018-11-30,50.0,1.0
55,2018-12-06,39.0,5.0
56,2018-12-12,38.0,1.0
57,2018-12-18,36.0,2.0
58,2018-12-24,34.0,0.0
59,2018-12-30,44.0,2.0
60,2019-01-05,36.0,3.0
61,2019-01-11,44.0,2.0
62,2019-01-17,34.0,3.0
63,2019-01-23,46.0,2.0
64,2019-01-29,33.0,2.0
65,2019-02-04,30.0,1.0
66,2019-02-10,30.0,3.0
67,2019-02-16,35.0,3.0
68,2019-02-22,40.0,2.0
69,2019-02-28,36.0,2.0
70,2019-03-06,38.0,4.0
71,2019-03-12,43.0,1.0
72,2019-03-18,42.0,3.0
73,2019-03-24,32.0,3.0
74,2019-03-30,37.0,1.0
75,2019-04-05,31.0,3.0
76,2019-04-11,29.0,2.0
77,2019-04-17,36.0,2.0
78,2019-04-23,30.0,2.0
79,2019-04-29,38.0,2.0
80,2019-05-05,44.0,2.0
81,2019-05-11,37.0,2.0
82,2019-05-17,40.0,2.0
83,2019-05-23,36.0,2.0
84,2019-05-29,38.0,2.0
85,2019-06-04,35.0,8.0
86,2019-06-10,32.0,3.0
87,2019-06-16,36.0,5.0
88,2019-06-22,38.0,0.0
89,2019-06-28,42.0,1.0
90,2019-07-04,44.0,3.0
91,2019-07-10,41.0,2.0
92,2019-07-16,36.0,2.0
93,2019-07-22,29.0,2.0
94,2019-07-28,33.0,2.0
95,2019-08-03,43.0,3.0
96,2019-08-09,43.0,3.0
97,2019-08-15,44.0,2.0
98,2019-08-21,37.0,1.0
99,2019-08-27,43.0,3.0
100,2019-09-02,37.0,1.0
101,2019-09-08,38.0,0.0
102,2019-09-14,34.0,2.0
103,2019-09-20,37.0,2.0
104,2019-09-26,29.0,2.0
105,2019-10-02,38.0,0.0
106,2019-10-08,32.0,0.0
107,2019-10-14,30.0,3.0
108,2019-10-20,27.0,1.0
109,2019-10-26,32.0,3.0
110,2019-11-01,26.0,3.0
111,2019-11-07,31.0,3.0
112,2019-11-13,35.0,3.0
113,2019-11-19,34.0,2.0
114,2019-11-25,39.0,3.0
115,2019-12-01,28.0,1.0
116,2019-12-07,42.0,4.0
117,2019-12-13,40.0,4.0
118,2019-12-19,33.0,0.0
119,2019-12-25,41.0,2.0
120,2019-12-31,28.0,2.0
121,2020-01-06,13.0,1.0
122,2020-01-12,41.0,6.0
123,2020-01-18,37.0,2.0
124,2020-01-24,37.0,4.0
125,2020-01-30,28.0,3.0
126,2020-02-05,40.0,0.0
127,2020-02-11,31.0,3.0
128,2020-02-17,30.0,3.0
129,2020-02-23,30.0,5.0
130,2020-02-29,37.0,1.0
131,2020-03-06,30.0,1.0
132,2020-03-12,44.0,6.0
133,2020-03-18,36.0,4.0
134,2020-03-24,36.0,4.0
135,2020-03-30,41.0,2.0
136,2020-04-05,29.0,4.0
137,2020-04-11,33.0,2.0
138,2020-04-17,36.0,1.0
139,2020-04-23,38.0,3.0
140,2020-04-29,40.0,1.0
141,2020-05-05,33.0,1.0
142,2020-05-11,37.0,0.0
143,2020-05-17,34.0,2.0
144,2020-05-23,30.0,3.0
145,2020-05-29,35.0,3.0
146,2020-06-04,39.0,0.0
147,2020-06-10,44.0,0.0
148,2020-06-16,36.0,0.0
149,2020-06-22,35.0,3.0
150,2020-06-28,35.0,0.0
151,2020-07-04,30.0,5.0
152,2020-07-10,40.0,1.0
153,2020-07-16,41.0,3.0
154,2020-07-22,33.0,5.0
155,2020-07-28,37.0,1.0
156,2020-08-03,37.0,5.0
157,2020-08-09,47.0,2.0
158,2020-08-15,44.0,4.0
159,2020-08-21,49.0,3.0
160,2020-08-27,38.0,4.0
161,2020-09-02,53.0,2.0
