,date,y,y_err
1,2018-01-07,12.0,1.0
2,2018-01-13,11.0,1.0
3,2018-01-19,16.0,3.0
4,2018-01-25,17.0,0.0
5,2018-01-31,7.0,1.0
6,2018-02-06,17.0,1.0
7,2018-02-12,14.0,3.0
8,2018-02-18,12.0,0.0
9,2018-02-24,17.0,0.0
10,2018-03-02,14.0,2.0
11,2018-03-08,16.0,0.0
12,2018-03-14,12.0,0.0
13,2018-03-20,16.0,1.0
14,2018-03-26,13.0,1.0
15,2018-04-01,13.0,3.0
16,2018-04-07,11.0,0.0
17,2018-04-13,16.0,1.0
18,2018-04-19,9.0,2.0
19,2018-04-25,14.0,3.0
20,2018-05-01,13.0,3.0
21,2018-05-07,20.0,1.0
22,2018-05-13,14.0,1.0
23,2018-05-19,17.0,2.0
24,2018-05-25,23.0,3.0
25,2018-05-31,14.0,1.0
26,2018-06-06,14.0,3.0
27,2018-06-12,13.0,1.0
28,2018-06-18,22.0,1.0
29,2018-06-24,17.0,2.0
30,2018-06-30,18.0,1.0
31,2018-07-06,18.0,0.0
32,2018-07-12,13.0,1.0
33,2018-07-18,16.0,1.0
34,2018-07-24,27.0,0.0
35,2018-07-30,16.0,0.0
36,2018-08-05,20.0,1.0
37,2018-08-11,26.0,1.0
38,2018-08-17,21.0,1.0
39,2018-08-23,13.0,1.0
40,2018-08-29,17.0,1.5
41,2018-09-04,21.0,2.0
42,2018-09-10,21.0,0.0
43,2018-09-16,17.0,4.0
44,2018-09-22,15.0,2.0
45,2018-09-28,18.0,2.0
46,2018-10-04,17.0,2.0
47,2018-10-10,17.0,3.0
48,2018-10-16,20.0,0.0
49,2018-10-22,13.0,2.0
50,2018-10-28,9.0,1.0
51,2018-11-03,13.0,1.0
52,2018-11-09,19.0,1.0
53,2018-11-15,19.0,1.0
54,2018-11-21,15.0,3.0
55,2018-11-27,11.0,1.0
56,2018-12-03,15.0,1.0
57,2018-12-09,11.0,3.0
58,2018-12-15,18.0,0.0
59,2018-12-21,18.0,2.0
60,2018-12-27,12.0,0.0
61,2019-01-02,15.0,1.0
62,2019-01-08,15.0,1.0
63,2019-01-14,15.0,0.0
64,2019-01-20,20.0,0.0
65,2019-01-26,10.0,0.0
66,2019-02-01,12.666666666666666,0.6666666666666679
67,2019-02-07,15.333333333333332,1.3333333333333357
68,2019-02-13,18.0,2.0
69,2019-02-19,15.0,1.0
70,2019-02-25,18.0,0.0
71,2019-03-03,11.0,2.0
72,2019-03-09,19.0,1.0
73,2019-03-15,10.0,1.0
74,2019-03-21,15.0,3.0
75,2019-03-27,21.0,1.0
76,2019-04-02,18.0,3.0
77,2019-04-08,14.0,0.0
78,2019-04-14,15.0,0.0
79,2019-04-20,15.0,1.0
80,2019-04-26,21.0,1.0
81,2019-05-02,13.0,0.0
82,2019-05-08,16.0,1.0
83,2019-05-14,19.0,2.0
84,2019-05-20,20.0,1.0
85,2019-05-26,16.0,0.0
86,2019-06-01,12.0,0.0
87,2019-06-07,13.5,0.0
